Symbol,Date,Open,High,Low,Close,Volume
LGHL,7-Aug-20,3.56,3.96,3.5501,3.84,229200
LGHLW,7-Aug-20,0.1377,0.1452,0.1304,0.1353,110100
LGIH,7-Aug-20,112,113.77,109.84,112.04,284600
LGND,7-Aug-20,115.36,117.73,115,117.66,169400
LHCG,7-Aug-20,209.5,214,203.93,213.08,251800
LI,7-Aug-20,17.75,19.33,16.6,16.89,7459700
LIFE,7-Aug-20,4,4.06,3.91,4,60800
LILA,7-Aug-20,9.3,9.52,9.04,9.42,652800
LILAK,7-Aug-20,8.93,9.33,8.8,9.26,2303200
LINC,7-Aug-20,5.64,5.64,5.21,5.23,82400
LIND,7-Aug-20,7.74,8.1,7.47,8.02,181200
LIQT,7-Aug-20,6.75,6.86,6.58,6.7,51100
LITE,7-Aug-20,93.67,94.0242,89.3296,91.34,1760600
LIVE,7-Aug-20,9.47,9.766,9.47,9.689,1300
LIVK,7-Aug-20,9.91,9.91,9.91,9.91,400
LIVN,7-Aug-20,46.96,48.33,46.695,47.49,289300
LIVX,7-Aug-20,3.04,3.08,2.9592,3.01,822200
LIZI,7-Aug-20,5.23,5.3,5.2,5.2,6300
LJPC,7-Aug-20,3.8,3.8,3.56,3.58,743800
LKCO,7-Aug-20,0.64,0.6499,0.615,0.64,1295700
LKFN,7-Aug-20,47.25,49.515,46.9,49.22,231600
LKQ,7-Aug-20,29.9,30.2,29.73,30.14,1893200
LLIT,7-Aug-20,0.52,0.5449,0.5121,0.5251,465800
LLNW,7-Aug-20,6.44,6.44,6.045,6.1,2684400
LMAT,7-Aug-20,29.06,29.96,28.895,29.66,67400
LMB,7-Aug-20,4.21,4.4799,4.1201,4.458,29600
LMBS,7-Aug-20,51.82,51.87,51.81,51.86,446100
LMFA,7-Aug-20,1.4,1.75,1.35,1.68,2835700
LMFAW,7-Aug-20,0.0804,0.0976,0.0801,0.0963,5900
LMNL,7-Aug-20,17.95,18.7542,17.61,18.51,29400
LMNR,7-Aug-20,13.77,14.6,13.73,14.54,31500
LMNX,7-Aug-20,33.01,33.77,31.91,32.06,908800
LMPX,7-Aug-20,7.54,7.79,7.29,7.5,27700
LMRK,7-Aug-20,10.45,10.535,10.02,10.49,47600
LMRKN,7-Aug-20,25.06,25.06,25,25.0162,2400
LMRKO,7-Aug-20,22.8556,23.04,22.8189,22.8552,5900
LMRKP,7-Aug-20,23.7,23.7,23.44,23.6,1800
LMST,7-Aug-20,10.23,10.84,10.23,10.81,2200
LNDC,7-Aug-20,10.25,10.4,9.705,10.32,89600
LNGR,7-Aug-20,25.55,25.71,25.55,25.59,6000
LNT,7-Aug-20,52.57,55.12,52.22,54.72,1476000
LNTH,7-Aug-20,12.92,13.33,12.9,13.29,618400
LOAC,7-Aug-20,10.825,10.825,10.65,10.65,500
LOACR,7-Aug-20,0.1541,0.213,0.1541,0.213,1900
LOACW,7-Aug-20,0.24,0.24,0.24,0.24,500
LOAN,7-Aug-20,4.21,4.21,4.16,4.2,34600
LOB,7-Aug-20,18,18.77,17.83,18.76,113100
LOCO,7-Aug-20,17.53,17.68,17.26,17.42,230500
LOGC,7-Aug-20,7.92,8.0422,7.67,7.86,40100
LOGI,7-Aug-20,74.02,74.31,72.09,73.03,579600
LOGM,7-Aug-20,85.83,85.91,85.83,85.89,178200
LONE,7-Aug-20,0.4,0.4,0.39,0.3917,281300
LOOP,7-Aug-20,10.2,10.29,10.14,10.29,36000
LOPE,7-Aug-20,102.24,102.3,99.8404,100.94,218100
LORL,7-Aug-20,21.49,22.17,21.32,21.74,250500
LOVE,7-Aug-20,33.91,34.82,33.5498,33.78,198000
LPCN,7-Aug-20,1.88,1.88,1.75,1.84,3508500
LPLA,7-Aug-20,82.01,85.2,82.01,85.09,544400
LPRO,7-Aug-20,17.73,17.87,17.345,17.86,348400
LPSN,7-Aug-20,58.69,59.26,56.2,57.51,1601400
LPTH,7-Aug-20,3.2,3.26,2.8,2.84,2248700
LPTX,7-Aug-20,1.98,2.03,1.88,1.88,668300
LQDA,7-Aug-20,6.06,6.48,6.01,6.22,261100
LQDT,7-Aug-20,6.11,6.2,6.05,6.16,276800
LRCX,7-Aug-20,378.38,381.69,366.45,372.44,1385400
LRGE,7-Aug-20,44.76,44.95,44.46,44.7241,8900
LRMR,7-Aug-20,10.65,10.81,10.4,10.5,7900
LSAC,7-Aug-20,10.02,10.03,10.01,10.03,2400
LSACU,7-Aug-20,10.75,10.75,10.75,10.75,1800
LSACW,7-Aug-20,0.82,0.8999,0.775,0.775,11000
LSBK,7-Aug-20,11.6,11.6,11.2,11.544,3700
LSCC,7-Aug-20,30.98,31.25,29.72,30.04,1004400
LSTR,7-Aug-20,125.32,127.59,125.32,127.43,184700
LSXMA,7-Aug-20,36.09,36.355,35.73,36.27,213000
LSXMK,7-Aug-20,36.07,36.43,35.78,36.3,380000
LTBR,7-Aug-20,7.12,7.26,6.7148,6.84,89300
LTRN,7-Aug-20,12.3,12.33,11.55,11.7,19200
LTRPA,7-Aug-20,2.83,2.88,2.47,2.67,1099600
LTRPB,7-Aug-20,40.75,41.26,40.2501,41.26,3300
LTRX,7-Aug-20,4.36,4.47,4.35,4.47,81300
LULU,7-Aug-20,339.08,343.74,336.51,342.12,1580500
LUMO,7-Aug-20,14.25,15.16,14.24,15.15,32100
LUNA,7-Aug-20,6.38,6.93,6.22,6.75,679100
LVGO,7-Aug-20,134.35,136,119.011,120.88,8601100
LVHD,7-Aug-20,29.41,29.9441,29.41,29.9129,358400
LWAY,7-Aug-20,3.32,3.79,3.32,3.46,195800
LX,7-Aug-20,8.5,8.64,8.26,8.51,1111800
LXRX,7-Aug-20,1.87,1.91,1.83,1.84,1581700
LYFT,7-Aug-20,31.14,31.14,29.51,30.19,11184500
LYL,7-Aug-20,1.27,1.32,1.18,1.21,8000
LYRA,7-Aug-20,13.6,13.75,13.5,13.5,31300
LYTS,7-Aug-20,6.4,6.69,6.127,6.69,95300
MACK,7-Aug-20,3.4,3.41,3.34,3.37,11100
MAGS,7-Aug-20,3.56,3.57,3.41,3.41,25100
MANH,7-Aug-20,95.62,96.77,92.79,94.53,398000
MANT,7-Aug-20,70.68,72.31,70.68,72.28,81400
MAR,7-Aug-20,90.23,94.05,88.62,93.78,4949800
MARA,7-Aug-20,4.55,4.69,3.98,4.38,27004100
MARK,7-Aug-20,1.6,1.72,1.57,1.71,5034400
MARPS,7-Aug-20,2.14,2.17,2.1201,2.15,3700
MASI,7-Aug-20,219.38,220.41,214.15,217.08,381700
MAT,7-Aug-20,11.37,11.4,11.22,11.36,1475600
MATW,7-Aug-20,22.1,22.61,21.8907,22.59,328100
MBB,7-Aug-20,110.74,110.81,110.69,110.72,999300
MBCN,7-Aug-20,17.98,18.85,17.76,18,4700
MBII,7-Aug-20,1.18,1.34,1.18,1.34,554000
MBIN,7-Aug-20,18.9,19.75,18.86,19.69,28900
MBINO,7-Aug-20,23.91,24.2,23.845,24.0907,16800
MBINP,7-Aug-20,25,25,24.9735,25,3300
MBIO,7-Aug-20,3.27,3.46,3.23,3.38,1163000
MBNKP,7-Aug-20,13.75,13.75,13.26,13.26,1300
MBOT,7-Aug-20,6.88,7.07,6.88,6.94,100600
MBRX,7-Aug-20,1.08,1.09,1.07,1.08,1038000
MBSD,7-Aug-20,24.22,24.22,24.19,24.19,2500
MBUU,7-Aug-20,57.9,58.56,56.36,57.16,172100
MBWM,7-Aug-20,21.24,22.67,21.125,22.67,27600
MCACU,7-Aug-20,10.05,10.0501,10.01,10.02,8700
MCBC,7-Aug-20,7.4,7.76,7.4,7.74,75700
MCBS,7-Aug-20,13.94,14.35,13.69,14.35,37100
MCEF,7-Aug-20,19.6501,19.705,19.6501,19.705,500
MCEP,7-Aug-20,3.14,3.21,3.05,3.07,106200
MCFT,7-Aug-20,20.35,20.96,20.12,20.87,126500
MCHI,7-Aug-20,72.77,73.01,71.715,72.34,7227300
MCHP,7-Aug-20,99.18,99.7984,97.665,98.97,2182400
MCHX,7-Aug-20,1.65,1.73,1.65,1.73,119200
MCMJ,7-Aug-20,9.81,9.849,9.8,9.829,5500
MCRB,7-Aug-20,4.4,4.745,4.31,4.64,689600
MCRI,7-Aug-20,39.54,41.46,38.5504,40.34,89100
MDB,7-Aug-20,211,211.75,195.13,199.65,1378800
MDCA,7-Aug-20,2.27,2.27,2.11,2.15,84000
MDGL,7-Aug-20,102.76,107.25,102.76,105.25,92400
MDGS,7-Aug-20,1.62,1.67,1.57,1.64,141700
MDIA,7-Aug-20,5.75,5.92,5.21,5.27,55600
MDIV,7-Aug-20,14.23,14.43,14.17,14.39,78900
MDJH,7-Aug-20,3.17,3.55,2.93,3.0877,64000
MDLZ,7-Aug-20,55.46,55.69,55.28,55.6,5190300
MDRR,7-Aug-20,1.66,1.69,1.57,1.65,9000
MDRX,7-Aug-20,9.05,9.3,8.97,9.245,1082200
MDWD,7-Aug-20,4.03,4.14,3.9,3.91,65900
MEDP,7-Aug-20,121.79,125,121.37,124.84,225800
MEDS,7-Aug-20,6.4,6.8436,6.4,6.68,7600
MEET,7-Aug-20,6.27,6.29,6.25,6.27,858900
MEIP,7-Aug-20,2.71,2.83,2.69,2.78,762700
MELI,7-Aug-20,1218,1235,1162.315,1193.97,878100
MEOH,7-Aug-20,19.24,19.59,18.95,19.57,165500
MERC,7-Aug-20,7.2,7.741,7.2,7.57,235000
MESA,7-Aug-20,3.22,3.4,3.14,3.27,577100
MESO,7-Aug-20,15.6,16.1594,15.6,16.04,449200
METC,7-Aug-20,2.25,2.47,2.25,2.43,107900
METX,7-Aug-20,11.44,11.62,11,11.2,36400
METXW,7-Aug-20,0.4,0.42,0.387,0.4,2200
MFH,7-Aug-20,3.87,3.95,3.43,3.54,210800
MFIN,7-Aug-20,3.11,3.18,3,3.14,38200
MFINL,7-Aug-20,24.735,24.85,24.735,24.85,600
MFNC,7-Aug-20,9.5,9.6,9.41,9.5,66400
MGEE,7-Aug-20,65.53,67.79,65.53,67.73,81000
MGEN,7-Aug-20,1.09,1.11,1.07,1.09,977200
MGI,7-Aug-20,3.5,3.51,3.33,3.44,1397900
MGIC,7-Aug-20,13,13.0326,12.685,12.95,29900
MGLN,7-Aug-20,74.61,75.63,73.635,74.95,128400
MGNI,7-Aug-20,6.4,7.19,6.37,7.105,3617500
MGNX,7-Aug-20,27.63,29.2,26.925,27.42,516000
MGPI,7-Aug-20,35.17,35.54,34.77,35.4,58100
MGRC,7-Aug-20,59.54,60.61,59.54,60.44,69400
MGTA,7-Aug-20,7.18,7.7294,7.0902,7.57,220100
MGTX,7-Aug-20,12.84,13.8,12.72,13.8,55800
MHLD,7-Aug-20,1.56,1.59,1.52,1.58,68400
MICT,7-Aug-20,3.65,3.71,3.4,3.6,58400
MIDD,7-Aug-20,99.84,103.05,98.78,102.91,904800
MIK,7-Aug-20,7.72,8.09,7.6,8,2651000
MILN,7-Aug-20,30.71,30.7372,30.3347,30.53,17100
MIME,7-Aug-20,45.75,45.98,44.46,44.87,417100
MIND,7-Aug-20,2.58,2.5899,2.3,2.54,98000
MINDP,7-Aug-20,18.49,18.49,17.98,18.161,2100
MIRM,7-Aug-20,25.63,26.52,24.5,25.28,216100
MIST,7-Aug-20,8.8,9.98,8.7,9.8,1668100
MITK,7-Aug-20,11.1,11.29,10.95,11.285,286200
MITO,7-Aug-20,1.9,1.98,1.87,1.92,100200
MJCO,7-Aug-20,12.97,13.1,12.97,13.09,64300
MKD,7-Aug-20,1.94,2.08,1.94,1.99,19400
MKGI,7-Aug-20,2.275,2.3,2.19,2.2301,38600
MKSI,7-Aug-20,126.43,127.53,121.45,123.11,423900
MKTX,7-Aug-20,500.7,510.6,500.7,508.2,205300
MLAB,7-Aug-20,239.15,253.21,239.15,251.83,29000
MLACU,7-Aug-20,9.97,10,9.94,9.97,36500
MLCO,7-Aug-20,17.4,17.94,17.24,17.37,3009900
MLHR,7-Aug-20,24.31,25.59,24.27,25.585,479000
MLND,7-Aug-20,1.82,1.92,1.805,1.92,429200
MLVF,7-Aug-20,11.5937,11.635,11.44,11.44,1200
MMAC,7-Aug-20,25.87,26.8,25.87,26.64,5700
MMLP,7-Aug-20,1.91,1.975,1.88,1.91,108100
MMSI,7-Aug-20,42.08,44.82,41.77,44.74,328500
MMYT,7-Aug-20,14.45,14.96,14.12,14.25,381500
MNCL,7-Aug-20,10.28,10.31,10.28,10.2839,2200
MNCLW,7-Aug-20,0.3675,0.375,0.3675,0.37,14700
MNDO,7-Aug-20,2.09,2.15,2.09,2.15,22000
MNKD,7-Aug-20,1.64,1.64,1.52,1.59,3950300
MNLO,7-Aug-20,1.62,1.66,1.59,1.615,1730000
MNOV,7-Aug-20,6.3,6.41,6.2,6.32,299200
MNPR,7-Aug-20,7.1,7.1,7,7,3500
MNRO,7-Aug-20,54.79,55.09,52.89,53.5,685400
MNSB,7-Aug-20,13.1,13.48,12.79,13.48,5500
MNST,7-Aug-20,82.95,83.84,82.42,83.19,1824500
MNTA,7-Aug-20,32.43,33.29,31.88,32.99,869300
MNTX,7-Aug-20,4.5,4.7,4.5,4.62,3000
MOBL,7-Aug-20,5.64,5.79,5.59,5.69,820300
MOFG,7-Aug-20,19.01,20.25,18.645,20.25,52300
MOGO,7-Aug-20,2.31,2.37,2.18,2.29,987800
MOHO,7-Aug-20,2.12,2.12,2.05,2.1,150100
MOMO,7-Aug-20,19.81,20.13,19.5,19.77,3108000
MOR,7-Aug-20,31.55,31.94,30.91,31.2,216300
MORF,7-Aug-20,24.61,25.91,24.61,25.39,22700
MORN,7-Aug-20,162.36,163.24,159.78,160.57,63800
MOSY,7-Aug-20,1.81,1.9273,1.8,1.83,119400
MOTS,7-Aug-20,1.21,1.27,1.18,1.25,17000
MOXC,7-Aug-20,1.13,1.25,1.13,1.22,151100
MPAA,7-Aug-20,18.07,19.02,18.02,19.01,73300
MPB,7-Aug-20,19.345,20.64,19.345,20.64,7200
MPWR,7-Aug-20,281.93,283.48,273.96,278.73,225400
MRAM,7-Aug-20,6.65,6.9,6.02,6.35,1398100
MRBK,7-Aug-20,15.51,16,15.29,15.99,6900
MRCC,7-Aug-20,7.1,7.29,6.82,7.29,154800
MRCCL,7-Aug-20,23.65,23.94,23.4448,23.94,4000
MRCY,7-Aug-20,80.58,81.9999,78.86,79.27,342600
MREO,7-Aug-20,2.7,2.88,2.68,2.83,354900
MRIN,7-Aug-20,1.43,1.7,1.43,1.51,141300
MRKR,7-Aug-20,2.13,2.18,2.06,2.14,169000
MRLN,7-Aug-20,7.31,7.59,7.31,7.51,66900
MRNA,7-Aug-20,74.38,75.39,73.01,74.1,8771400
MRNS,7-Aug-20,2,2,1.78,1.79,2956300
MRSN,7-Aug-20,21.23,21.35,19.619,20.27,739800
MRTN,7-Aug-20,26.53,27.41,26.52,27.39,232900
MRTX,7-Aug-20,130.71,137.29,127.99,128.88,387300
MRUS,7-Aug-20,13.32,13.44,12.93,13.26,58700
MRVL,7-Aug-20,36.68,36.75,35.3403,36.08,10194700
MSBI,7-Aug-20,14.39,14.99,14.22,14.92,217600
MSEX,7-Aug-20,65.63,69.72,65.43,69.58,49300
MSFT,7-Aug-20,214.85,215.7,210.93,212.48,27820400
