,Symbol,Volume
732,COWN,486100
733,COWNL,2100
734,COWNZ,4000
735,CPAA,11500
736,CPAAU,800
737,CPAAW,10000
738,CPAH,33500
739,CPHC,300
740,CPIX,19300
741,CPLP,111400
742,CPRT,1491400
743,CPRX,2713400
744,CPSH,172100
745,CPSI,75500
746,CPSS,8400
747,CPST,360500
748,CPTA,153800
749,CPTAG,9800
750,CPTAL,2000
751,CPZ,16200
752,CRAI,32100
753,CRBP,1339500
754,CRDF,590300
755,CREE,721600
756,CREG,82400
757,CRESY,235600
758,CREX,403400
759,CREXW,500
760,CRIS,1910800
761,CRMT,30400
762,CRNC,712900
763,CRNT,429700
764,CRNX,190300
765,CRON,5987900
766,CROX,1361600
767,CRSA,21400
768,CRSAU,9600
769,CRSAW,4800
770,CRSP,834000
771,CRTO,213500
772,CRTX,67900
773,CRUS,773000
774,CRVL,33400
775,CRVS,176800
776,CRWD,6637300
777,CRWS,3200
778,CSA,1200
779,CSB,4100
780,CSBR,14300
781,CSCO,17054300
782,CSF,1000
783,CSGP,153600
784,CSGS,299900
785,CSII,187700
786,CSIQ,4184100
787,CSML,14000
788,CSOD,329700
789,CSPI,6100
790,CSQ,252600
791,CSSE,33200
792,CSSEN,7400
793,CSSEP,11900
794,CSTE,56300
795,CSTL,91300
796,CSTR,53500
797,CSWC,31400
798,CSWCL,2300
799,CSWI,46500
800,CSX,3428000
801,CTAS,441600
802,CTBI,46600
803,CTG,7700
804,CTHR,76100
805,CTIB,194700
806,CTIC,1127600
807,CTMX,425500
808,CTRE,691300
809,CTRM,4388300
810,CTRN,201300
811,CTSH,2054400
812,CTSO,419200
813,CTXR,1671700
814,CTXRW,10400
815,CTXS,1141000
816,CUBA,17100
817,CUE,187900
818,CUTR,266200
819,CVBF,524500
820,CVCO,39900
821,CVCY,28400
822,CVET,559600
823,CVGI,236200
824,CVGW,92300
825,CVLG,57300
826,CVLT,266100
827,CVLY,6400
828,CVV,17200
829,CWBC,900
830,CWBR,426100
831,CWCO,106800
832,CWST,180900
833,CXDC,94400
834,CXDO,55600
835,CXSE,63400
836,CYAD,1000
837,CYAN,1900
838,CYBE,78400
839,CYBR,434500
840,CYCC,89800
841,CYCN,154600
842,CYRN,214500
843,CYRX,952900
844,CYTK,1180000
845,CZNC,31300
846,CZR,6729800
847,CZWI,4400
848,DADA,854600
849,DAIO,12400
850,DAKT,249700
851,DARE,615900
852,DAX,3100
853,DBCP,3700
854,DBVT,1160400
855,DBX,22826300
856,DCOM,293500
857,DCOMP,40600
858,DCPH,366200
859,DCTH,29600
860,DDIV,3200
861,DDOG,18906500
862,DENN,1076700
863,DFFN,1688800
864,DFHTU,3900
865,DFNL,18600
866,DFPH,4700
867,DFPHU,1800
868,DFPHW,300
869,DGICA,47100
870,DGICB,600
871,DGII,359900
872,DGLY,682700
873,DGRE,9100
874,DGRS,13300
875,DGRW,322300
876,DHC,1806200
877,DHCNI,18900
878,DHCNL,50200
879,DHIL,8600
880,DINT,6500
881,DIOD,324700
882,DISCA,6863700
883,DISCB,400
884,DISCK,3726600
885,DISH,7180900
886,DJCO,1300
887,DKNG,8890500
888,DLHC,119300
889,DLPN,871900
890,DLPNW,6300
891,DLTH,212300
892,DLTR,1345200
893,DMAC,110400
894,DMLP,49100
